panel_name,relative_time,old_no_covars,new_with_covars,diff,change_type
"China - Agriculture, Forestry and Fishing",3,0.16155913317092663,0.6374567434386673,0.4758976102677407,Grew
China - Communications,3,0.7730575365948079,1.7067988521732416,0.9337413155784337,Grew
China - Education,3,-0.2157012669902338,1.1708624255611628,1.3865636925513967,FLIP
China - Emergency Response,3,3.476344180403401,1.4873474431854727,-1.9889967372179285,Shrunk
China - Energy Generation and Supply,3,6.093090774123279,1.3539073786193174,-4.739183395503962,Shrunk
China - Government and Civil Society,3,1.0791404376404734,2.554375115310674,1.4752346776702008,Grew
China - Health,3,-1.8631320828941471,0.913726420083894,2.7768585029780413,FLIP
China - Other Multisector,3,-2.341073066868667,1.3868567585811495,3.7279298254498165,FLIP
China - Other Social Infrastructure and Services,3,3.666543603153088,1.0486971154472224,-2.617846487705865,Shrunk
China - Transport and Storage,3,1.2777890442854758,1.97495258867831,0.6971635443928341,Grew
China - Water Supply and Sanitation,3,2.494862433554923,1.385788154830785,-1.1090742787241379,Shrunk
"World Bank - Agriculture, Forestry and Fishing",3,0.3882897439011536,0.27108045307433704,-0.11720929082681658,Shrunk
World Bank - Banking and Financial Services,3,1.41530458449977,0.8396875695530678,-0.5756170149467023,Shrunk
World Bank - Communications,3,-4.44627832452251,0.5738319059085351,5.020110230431045,FLIP
World Bank - Education,3,1.0387418268608903,1.7351782922026158,0.6964364653417254,Grew
World Bank - Energy Generation and Supply,3,0.2210183340028799,0.8758947555876034,0.6548764215847236,Grew
World Bank - General Environmental Protection,3,0.5909907443437313,0.9861943409476732,0.3952035966039419,Grew
World Bank - Government and Civil Society,3,0.4278647862614808,0.799857804810937,0.37199301854945627,Grew
World Bank - Health,3,1.3786561588206,1.32402182650939,-0.054634332311210176,Shrunk
"World Bank - Industry, Mining, Construction",3,0.6151393635988539,0.22948694607846923,-0.3856524175203847,Shrunk
World Bank - Other Social Infrastructure and Services,3,0.9522766407105312,1.284289220131451,0.3320125794209199,Grew
World Bank - Transport and Storage,3,1.3764876789582514,0.98510967602436,-0.39137800293389147,Shrunk
World Bank - Water Supply and Sanitation,3,1.6632951586807865,1.503300412028724,-0.15999474665206237,Shrunk
