country,iso3,n_clusters
nigeria,NGA,286
kenya,KEN,204
malawi,MWI,182
mozambique,MOZ,121
tanzania,TZA,110
burundi,BDI,109
namibia,NAM,92
benin,BEN,72
zambia,ZMB,71
ghana,GHA,66
ethiopia,ETH,64
uganda,UGA,64
cameroon,CMR,58
zimbabwe,ZWE,58
eswatini,SWZ,51
south_africa,ZAF,51
morocco,MAR,45
senegal,SEN,45
democratic_republic_of_congo,COD,39
gabon,GAB,37
niger,NER,35
guinea,GIN,34
mali,MLI,34
angola,AGO,30
burkina_faso,BFA,30
rwanda,RWA,30
central_african_republic,CAF,25
chad,TCD,25
madagascar,MDG,22
togo,TGO,21
ivory_coast,CIV,19
sierra_leone,SLE,14
lesotho,LSO,11
liberia,LBR,8
comoros,COM,3
